video_id,chapter_index,start_time,end_time,title
1WEAJ-DFkHE,1,0.0,290.0,<Untitled Chapter 1>
1WEAJ-DFkHE,2,290.0,299.0,LOUNGE AREA
1WEAJ-DFkHE,3,299.0,552.0,BEDROOM
1WEAJ-DFkHE,4,552.0,740.0,ONE OF THE BUSIEST EVENTS EVER
gHzuabZUd6c,1,0.0,151.0,<Untitled Chapter 1>
gHzuabZUd6c,2,151.0,383.0,Day 10
gHzuabZUd6c,3,383.0,471.0,Day 39 It's Father's Day
gHzuabZUd6c,4,471.0,1030.0,Day 50
0e3GPea1Tyg,1,0.0,240.0,Red Light
0e3GPea1Tyg,2,240.0,460.0,Honeycomb
0e3GPea1Tyg,3,460.0,624.0,Tug Of War
0e3GPea1Tyg,4,624.0,676.0,Marbles
0e3GPea1Tyg,5,676.0,989.0,Elimination
0e3GPea1Tyg,6,989.0,1291.0,Glass Bridge
0e3GPea1Tyg,7,1291.0,1541.0,Final Game
r7zJ8srwwjk,1,0.0,289.0,<Untitled Chapter 1>
r7zJ8srwwjk,2,289.0,292.0,BLOCK DOOR
r7zJ8srwwjk,3,292.0,521.0,COVER MIRROR
r7zJ8srwwjk,4,521.0,951.0,I'M SO CONFUSED
yXWw0_UfSFg,1,0.0,79.0,Intro
yXWw0_UfSFg,2,79.0,193.0,Tylers Circle
yXWw0_UfSFg,3,193.0,319.0,Chandlers Circle
yXWw0_UfSFg,4,319.0,388.0,Giant Red Circle
yXWw0_UfSFg,5,388.0,528.0,Smaller Circle
yXWw0_UfSFg,6,528.0,656.0,Big Circle
yXWw0_UfSFg,7,656.0,942.0,New Store
yXWw0_UfSFg,8,942.0,1008.0,Baseball
yXWw0_UfSFg,9,1008.0,1045.0,The Circle
yXWw0_UfSFg,10,1045.0,1099.0,The Baby Store
yXWw0_UfSFg,11,1099.0,1182.0,Stacking Money
