video_id,comment_id,parent_id,author,author_channel_id,text,like_count,reply_count,is_favorited,is_pinned,timestamp
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg,root,@MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,"Feel free to make Tik Toks, Shorts, or Insta Reels of any cool moments of this video!",206000,25,False,True,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ijzzjJAcQ,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@senhorpedrudo5913,UC_xTF-Q7Mu1B07CBNWzTs5A,Help rio grande do sul 😢😢😢,18,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ijTP8vUsP,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@TheRetroReboot,UC__i55eJR7s-q74aERkrJyg,bet,12,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ijqwWDTdR,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@TrendSceneYT,UCh8gcm7y-ba5TjJf_TetUMg,Ok,8,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ikQBH4_qS,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@Fionna-d7p,UC5KcLiJ6lIV3cMxMkfH5apA,K,7,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ijv79KEmB,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@senhorpedrudo5913,UC_xTF-Q7Mu1B07CBNWzTs5A,Help rio grande do sul 😢😢😢,6,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ikGg6iQyn,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@waifusimp69420,UCE4lnCvtzgKZ_F1bkxakIww,yes MrBeast,6,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ilcYc8JMX,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@Nibikkk,UCyQFHGA4OzgB_Nmb4oUoPWA,Hello,6,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA5-Q2y92DLR,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@tanvirgaming6748,UCTMiOkljUm-_leaUlkAQAkQ,"I am from Bangladesh, I want to play your game, Will you ever give me this chance?",6,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4iljnMRMup,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@Amoux11,UCsx_t4njfetu27Wqn04JCLw,Invite me to do this now.,5,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4i_u_2GeZG,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@NNONNNONNO,UCqewXCollL7XWaZa4_-d-xw,.,4,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4il7hu9fmQ,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@spiiderboy7,UCHEqFjfxcuYR4q3Bd524P8g,OKE,4,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ihSPNW1qt,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@Jacobsmech,UC3NF-_PVwLN3krKtDwWmUdg,Ko,27,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4iw1kvGkb3,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@EXDIPO,UCZkfTskB7nh8Fivktdqj76g,Ok 👍👍👍👍,27,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4isnpU5udZ,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@dianhildabrandkenton9741,UClIvV-l5dfm-g7MFiBP0eBQ,Ok,3,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4itAABEmKM,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@MxssiXD1,UCKoA-TW-kaLXXt2U51cr3-w,LETGO,3,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4kACobwvcT,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@СергейЛавр-ж1й,UCx08LM_M9OUnUL_yT0V8SBg,😢😢😢😢😢😢😢😢😢❤❤❤,3,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA5-Pb02eXNP,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@DudePressure,UC7u2-alk8Rc2GGe22Z8EiIA,I wil be the longest winning participant,3,0,False,False,1721433600
PWirijQkH4M,Ugy6_PzV8d-eQ1eMUUp4AaABAg.A4iZhaHZ4sNA4ii_uwPXvj,Ugy6_PzV8d-eQ1eMUUp4AaABAg,@giuliannajesus1672,UCP9u9ct9NJzmyOzoo3GTujA,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,24,0,False,False,1721433600
